IP地址	端口	TLS	数据中心	地区	城市	ASN	网络延迟
52.90.126.159	80	FALSE	IAD	North America	Ashburn	14618	4 ms
54.218.49.228	80	TRUE	PDX	North America	Portland	16509	4 ms
35.83.57.148	80	FALSE	PDX	North America	Portland	16509	4 ms
67.226.222.182	80	TRUE	ORD	North America	Chicago	16509	4 ms
3.66.115.225	80	FALSE	FRA	Europe	Frankfurt	16509	4 ms
18.198.227.161	80	FALSE	FRA	Europe	Frankfurt	16509	4 ms
52.33.8.219	80	FALSE	PDX	North America	Portland	16509	5 ms
3.68.62.122	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
3.69.0.8	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
52.44.71.177	80	FALSE	IAD	North America	Ashburn	14618	5 ms
204.110.220.145	80	TRUE	SJC	North America	San Jose	16509	5 ms
35.171.10.44	80	FALSE	IAD	North America	Ashburn	14618	5 ms
52.87.80.149	80	FALSE	IAD	North America	Ashburn	14618	5 ms
18.193.131.26	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
54.161.62.141	80	FALSE	IAD	North America	Ashburn	14618	5 ms
3.23.238.192	80	FALSE	ORD	North America	Chicago	16509	5 ms
18.216.55.100	80	FALSE	ORD	North America	Chicago	16509	5 ms
57.182.98.178	80	FALSE	NRT	Asia Pacific	Tokyo	16509	5 ms
67.226.221.137	80	TRUE	SJC	North America	San Jose	16509	5 ms
67.226.221.134	80	TRUE	SJC	North America	San Jose	16509	5 ms
65.1.148.157	80	FALSE	BOM	Asia Pacific	Mumbai	16509	5 ms
54.176.205.20	80	TRUE	SJC	North America	San Jose	16509	5 ms
44.239.189.120	80	FALSE	PDX	North America	Portland	16509	5 ms
54.184.39.29	80	TRUE	PDX	North America	Portland	16509	5 ms
67.226.223.5	80	TRUE	LHR	Europe	London	16509	5 ms
43.204.208.173	80	FALSE	BOM	Asia Pacific	Mumbai	16509	5 ms
3.220.234.82	80	FALSE	IAD	North America	Ashburn	14618	5 ms
35.157.240.237	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
44.231.140.156	80	FALSE	PDX	North America	Portland	16509	5 ms
204.110.220.45	80	TRUE	SJC	North America	San Jose	16509	5 ms
3.101.73.167	80	TRUE	SJC	North America	San Jose	16509	5 ms
18.188.138.151	80	FALSE	ORD	North America	Chicago	16509	5 ms
35.180.38.14	80	FALSE	CDG	Europe	Paris	16509	5 ms
18.195.205.127	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
54.233.145.43	80	FALSE	GRU	South America	São Paulo	16509	5 ms
204.110.221.168	80	TRUE	YUL	North America	Montréal	16509	5 ms
204.110.220.180	80	TRUE	SJC	North America	San Jose	16509	5 ms
54.74.226.17	80	TRUE	DUB	Europe	Dublin	16509	5 ms
204.110.220.204	80	TRUE	SJC	North America	San Jose	16509	5 ms
54.219.128.169	80	TRUE	SJC	North America	San Jose	16509	5 ms
3.68.31.54	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
54.176.113.170	80	TRUE	SJC	North America	San Jose	16509	5 ms
3.18.8.87	80	FALSE	ORD	North America	Chicago	16509	5 ms
35.179.170.1	80	FALSE	LHR	Europe	London	16509	5 ms
3.238.89.189	80	FALSE	IAD	North America	Ashburn	14618	5 ms
52.33.8.219	80	FALSE	PDX	North America	Portland	16509	5 ms
3.6.136.68	80	FALSE	BOM	Asia Pacific	Mumbai	16509	5 ms
54.225.117.69	80	FALSE	IAD	North America	Ashburn	14618	5 ms
204.110.220.231	80	TRUE	SJC	North America	San Jose	16509	5 ms
52.29.224.33	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
54.161.151.0	80	FALSE	IAD	North America	Ashburn	14618	5 ms
3.67.232.136	80	FALSE	FRA	Europe	Frankfurt	16509	5 ms
54.212.93.229	80	FALSE	PDX	North America	Portland	16509	5 ms
54.218.49.228	80	TRUE	PDX	North America	Portland	16509	5 ms
51.112.97.191	80	FALSE	MRS	Europe	Marseille	16509	6 ms
204.110.221.151	80	TRUE	YUL	North America	Montréal	16509	6 ms
67.226.221.231	80	TRUE	SJC	North America	San Jose	16509	6 ms
3.69.0.8	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
67.226.221.159	80	TRUE	SJC	North America	San Jose	16509	6 ms
54.202.115.66	80	TRUE	PDX	North America	Portland	16509	6 ms
204.110.220.111	80	TRUE	SJC	North America	San Jose	16509	6 ms
67.226.222.231	80	TRUE	CMH	North America	Columbus	16509	6 ms
52.29.224.33	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
35.157.240.237	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
18.236.13.188	80	TRUE	PDX	North America	Portland	16509	6 ms
204.110.223.105	80	TRUE	ORD	North America	Chicago	16509	6 ms
3.68.62.122	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
52.22.22.40	80	FALSE	IAD	North America	Ashburn	14618	6 ms
54.163.182.65	80	FALSE	IAD	North America	Ashburn	14618	6 ms
50.18.133.190	80	TRUE	SJC	North America	San Jose	16509	6 ms
67.226.223.26	80	TRUE	LHR	Europe	London	16509	6 ms
54.213.92.168	80	FALSE	PDX	North America	Portland	16509	6 ms
54.153.59.106	80	TRUE	SJC	North America	San Jose	16509	6 ms
52.41.218.4	80	TRUE	PDX	North America	Portland	16509	6 ms
204.110.221.12	80	TRUE	YUL	North America	Montréal	16509	6 ms
3.66.115.225	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
18.185.254.189	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
52.41.218.4	80	TRUE	PDX	North America	Portland	16509	6 ms
54.233.145.43	80	FALSE	GRU	South America	São Paulo	16509	6 ms
52.91.254.230	80	FALSE	IAD	North America	Ashburn	14618	6 ms
3.218.127.188	80	FALSE	IAD	North America	Ashburn	14618	6 ms
18.196.70.197	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
67.226.223.213	80	TRUE	LHR	Europe	London	16509	6 ms
3.23.238.192	80	FALSE	ORD	North America	Chicago	16509	6 ms
3.127.55.133	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
204.110.220.236	80	TRUE	SJC	North America	San Jose	16509	6 ms
67.226.221.90	80	TRUE	SJC	North America	San Jose	16509	6 ms
204.110.220.49	80	TRUE	SJC	North America	San Jose	16509	6 ms
44.228.63.60	80	TRUE	PDX	North America	Portland	16509	6 ms
67.226.223.7	80	TRUE	LHR	Europe	London	16509	6 ms
204.110.221.214	80	TRUE	YUL	North America	Montréal	16509	6 ms
3.67.232.136	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
35.93.215.136	80	FALSE	PDX	North America	Portland	16509	6 ms
204.110.220.172	80	TRUE	SJC	North America	San Jose	16509	6 ms
18.156.209.101	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
18.192.163.223	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
67.226.221.163	80	TRUE	SJC	North America	San Jose	16509	6 ms
18.222.102.81	80	FALSE	ORD	North America	Chicago	16509	6 ms
204.110.221.100	80	TRUE	YUL	North America	Montréal	16509	6 ms
204.110.220.95	80	TRUE	SJC	North America	San Jose	16509	6 ms
35.179.170.1	80	FALSE	LHR	Europe	London	16509	6 ms
18.192.93.64	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
204.110.220.16	80	TRUE	SJC	North America	San Jose	16509	6 ms
3.144.191.4	80	FALSE	ORD	North America	Chicago	16509	6 ms
18.196.93.254	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
204.110.221.20	80	TRUE	YUL	North America	Montréal	16509	6 ms
54.241.79.250	80	TRUE	SJC	North America	San Jose	16509	6 ms
204.110.220.226	80	TRUE	SJC	North America	San Jose	16509	6 ms
54.213.241.206	80	FALSE	PDX	North America	Portland	16509	6 ms
3.68.31.54	80	FALSE	FRA	Europe	Frankfurt	16509	6 ms
204.110.220.69	80	TRUE	SJC	North America	San Jose	16509	6 ms
54.213.94.219	80	FALSE	PDX	North America	Portland	16509	6 ms
