IP地址	端口	TLS	数据中心	地区	城市	ASN	网络延迟
172.64.40.216	443	TRUE	BKK	Asia Pacific	Bangkok	13335	5 ms
172.64.40.109	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.112	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.138	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.99	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.140	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.101	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.111	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.196	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.218	443	TRUE	BKK	Asia Pacific	Bangkok	13335	6 ms
172.64.40.200	443	TRUE	BKK	Asia Pacific	Bangkok	13335	7 ms
172.64.40.197	443	TRUE	BKK	Asia Pacific	Bangkok	13335	7 ms
172.64.40.148	443	TRUE	BKK	Asia Pacific	Bangkok	13335	7 ms
154.219.5.148	443	TRUE	BKK	Asia Pacific	Bangkok	209242	8 ms
154.219.5.126	443	TRUE	BKK	Asia Pacific	Bangkok	209242	8 ms
154.219.5.132	443	TRUE	BKK	Asia Pacific	Bangkok	209242	8 ms
154.219.5.228	443	TRUE	BKK	Asia Pacific	Bangkok	209242	9 ms
154.219.5.136	443	TRUE	BKK	Asia Pacific	Bangkok	209242	10 ms
154.219.5.146	443	TRUE	BKK	Asia Pacific	Bangkok	209242	10 ms
172.64.40.104	443	TRUE	BKK	Asia Pacific	Bangkok	13335	10 ms
172.64.40.209	443	TRUE	BKK	Asia Pacific	Bangkok	13335	10 ms
172.64.40.92	443	TRUE	BKK	Asia Pacific	Bangkok	13335	11 ms
172.64.40.134	443	TRUE	BKK	Asia Pacific	Bangkok	13335	12 ms
172.64.40.139	443	TRUE	BKK	Asia Pacific	Bangkok	13335	13 ms
154.219.5.130	443	TRUE	BKK	Asia Pacific	Bangkok	209242	14 ms
154.197.80.49	443	TRUE	BKK	Asia Pacific	Bangkok	209242	16 ms
23.106.130.200	80	TRUE	KIX	Asia Pacific	Osaka	25820	17 ms
154.219.5.133	443	TRUE	BKK	Asia Pacific	Bangkok	209242	18 ms
154.219.5.45	443	TRUE	BKK	Asia Pacific	Bangkok	209242	19 ms
172.64.40.113	443	TRUE	BKK	Asia Pacific	Bangkok	13335	24 ms
172.64.40.125	443	TRUE	BKK	Asia Pacific	Bangkok	13335	24 ms
172.64.40.127	443	TRUE	BKK	Asia Pacific	Bangkok	13335	28 ms
172.64.40.224	443	TRUE	BKK	Asia Pacific	Bangkok	13335	29 ms
172.64.40.154	443	TRUE	BKK	Asia Pacific	Bangkok	13335	29 ms
172.64.40.8	443	TRUE	BKK	Asia Pacific	Bangkok	13335	31 ms
172.64.78.148	443	TRUE	SIN	Asia Pacific	Singapore	13335	32 ms
172.64.78.47	443	TRUE	SIN	Asia Pacific	Singapore	13335	32 ms
154.197.80.155	443	TRUE	BKK	Asia Pacific	Bangkok	209242	32 ms
172.64.40.65	443	TRUE	BKK	Asia Pacific	Bangkok	13335	32 ms
172.64.78.224	443	TRUE	SIN	Asia Pacific	Singapore	13335	32 ms
172.64.78.17	443	TRUE	SIN	Asia Pacific	Singapore	13335	33 ms
172.64.40.131	443	TRUE	BKK	Asia Pacific	Bangkok	13335	33 ms
172.64.40.201	443	TRUE	BKK	Asia Pacific	Bangkok	13335	34 ms
172.64.78.30	443	TRUE	SIN	Asia Pacific	Singapore	13335	35 ms
172.64.78.128	443	TRUE	SIN	Asia Pacific	Singapore	13335	36 ms
154.219.5.26	443	TRUE	BKK	Asia Pacific	Bangkok	209242	36 ms
154.197.80.76	443	TRUE	BKK	Asia Pacific	Bangkok	209242	36 ms
172.64.40.223	443	TRUE	BKK	Asia Pacific	Bangkok	13335	37 ms
172.64.40.45	443	TRUE	BKK	Asia Pacific	Bangkok	13335	39 ms
154.197.80.143	443	TRUE	BKK	Asia Pacific	Bangkok	209242	39 ms
172.64.40.47	443	TRUE	BKK	Asia Pacific	Bangkok	13335	40 ms
45.202.113.6	443	TRUE	SIN	Asia Pacific	Singapore	984	40 ms
154.197.80.135	443	TRUE	BKK	Asia Pacific	Bangkok	209242	40 ms
172.64.40.82	443	TRUE	BKK	Asia Pacific	Bangkok	13335	41 ms
154.219.5.39	443	TRUE	BKK	Asia Pacific	Bangkok	209242	41 ms
172.64.40.59	443	TRUE	BKK	Asia Pacific	Bangkok	13335	41 ms
172.64.40.66	443	TRUE	BKK	Asia Pacific	Bangkok	13335	42 ms
154.197.80.226	443	TRUE	BKK	Asia Pacific	Bangkok	209242	42 ms
154.197.80.133	443	TRUE	BKK	Asia Pacific	Bangkok	209242	43 ms
172.64.40.74	443	TRUE	BKK	Asia Pacific	Bangkok	13335	43 ms
154.197.80.26	443	TRUE	BKK	Asia Pacific	Bangkok	209242	44 ms
154.197.80.154	443	TRUE	BKK	Asia Pacific	Bangkok	209242	44 ms
172.64.78.153	443	TRUE	SIN	Asia Pacific	Singapore	13335	45 ms
45.91.200.86	80	TRUE	AMS	Europe	Amsterdam	204601	46 ms
154.219.5.23	443	TRUE	BKK	Asia Pacific	Bangkok	209242	46 ms
154.219.5.64	443	TRUE	BKK	Asia Pacific	Bangkok	209242	46 ms
154.197.80.68	443	TRUE	BKK	Asia Pacific	Bangkok	209242	46 ms
172.64.40.67	443	TRUE	BKK	Asia Pacific	Bangkok	13335	46 ms
154.197.80.129	443	TRUE	BKK	Asia Pacific	Bangkok	209242	47 ms
45.202.113.2	443	TRUE	SIN	Asia Pacific	Singapore	984	47 ms
172.64.78.127	443	TRUE	SIN	Asia Pacific	Singapore	13335	48 ms
172.64.40.72	443	TRUE	BKK	Asia Pacific	Bangkok	13335	48 ms
172.64.40.76	443	TRUE	BKK	Asia Pacific	Bangkok	13335	49 ms
172.64.40.198	443	TRUE	BKK	Asia Pacific	Bangkok	13335	49 ms
172.64.40.53	443	TRUE	BKK	Asia Pacific	Bangkok	13335	50 ms
172.64.40.169	443	TRUE	BKK	Asia Pacific	Bangkok	13335	50 ms
172.64.40.73	443	TRUE	BKK	Asia Pacific	Bangkok	13335	51 ms
154.219.5.67	443	TRUE	BKK	Asia Pacific	Bangkok	209242	51 ms
172.64.78.206	443	TRUE	CGK	Asia Pacific	Jakarta	13335	52 ms
172.64.40.64	443	TRUE	BKK	Asia Pacific	Bangkok	13335	53 ms
172.64.40.63	443	TRUE	BKK	Asia Pacific	Bangkok	13335	53 ms
154.219.5.40	443	TRUE	BKK	Asia Pacific	Bangkok	209242	57 ms
154.219.5.153	443	TRUE	BKK	Asia Pacific	Bangkok	209242	57 ms
172.64.40.137	443	TRUE	BKK	Asia Pacific	Bangkok	13335	58 ms
172.64.40.250	443	TRUE	BKK	Asia Pacific	Bangkok	13335	58 ms
172.64.40.103	443	TRUE	BKK	Asia Pacific	Bangkok	13335	59 ms
154.219.5.33	443	TRUE	BKK	Asia Pacific	Bangkok	209242	60 ms
154.197.80.219	443	TRUE	BKK	Asia Pacific	Bangkok	209242	60 ms
172.64.40.202	443	TRUE	BKK	Asia Pacific	Bangkok	13335	61 ms
172.64.40.235	443	TRUE	BKK	Asia Pacific	Bangkok	13335	61 ms
154.197.80.137	443	TRUE	BKK	Asia Pacific	Bangkok	209242	61 ms
172.64.40.29	443	TRUE	BKK	Asia Pacific	Bangkok	13335	62 ms
154.219.5.190	443	TRUE	BKK	Asia Pacific	Bangkok	209242	62 ms
154.197.80.12	443	TRUE	BKK	Asia Pacific	Bangkok	209242	62 ms
172.64.40.128	443	TRUE	BKK	Asia Pacific	Bangkok	13335	62 ms
154.197.80.221	443	TRUE	BKK	Asia Pacific	Bangkok	209242	62 ms
172.64.40.88	443	TRUE	BKK	Asia Pacific	Bangkok	13335	63 ms
172.64.40.199	443	TRUE	BKK	Asia Pacific	Bangkok	13335	63 ms
172.64.40.105	443	TRUE	BKK	Asia Pacific	Bangkok	13335	63 ms
172.64.40.151	443	TRUE	BKK	Asia Pacific	Bangkok	13335	64 ms
172.64.78.128	443	TRUE	SIN	Asia Pacific	Singapore	13335	65 ms
154.197.80.98	443	TRUE	BKK	Asia Pacific	Bangkok	209242	65 ms
154.197.80.208	443	TRUE	BKK	Asia Pacific	Bangkok	209242	66 ms
172.64.40.133	443	TRUE	BKK	Asia Pacific	Bangkok	13335	69 ms
154.219.5.60	443	TRUE	BKK	Asia Pacific	Bangkok	209242	69 ms
172.64.40.153	443	TRUE	BKK	Asia Pacific	Bangkok	13335	70 ms
172.64.40.181	443	TRUE	BKK	Asia Pacific	Bangkok	13335	71 ms
154.219.5.118	443	TRUE	BKK	Asia Pacific	Bangkok	209242	72 ms
154.219.5.106	443	TRUE	BKK	Asia Pacific	Bangkok	209242	74 ms
172.64.40.90	443	TRUE	BKK	Asia Pacific	Bangkok	13335	74 ms
172.64.78.139	443	TRUE	SIN	Asia Pacific	Singapore	13335	74 ms
154.219.5.150	443	TRUE	BKK	Asia Pacific	Bangkok	209242	76 ms
51.79.254.182	443	TRUE	SIN	Asia Pacific	Singapore	16276	77 ms
172.64.40.84	443	TRUE	BKK	Asia Pacific	Bangkok	13335	78 ms
172.64.40.26	443	TRUE	BKK	Asia Pacific	Bangkok	13335	80 ms
154.219.5.115	443	TRUE	BKK	Asia Pacific	Bangkok	209242	81 ms
45.202.113.219	443	TRUE	SIN	Asia Pacific	Singapore	984	81 ms
58.176.95.46	443	TRUE	HKG	Asia Pacific	Hong Kong	9269	83 ms
154.197.80.120	443	TRUE	BKK	Asia Pacific	Bangkok	209242	83 ms
45.202.113.14	443	TRUE	SIN	Asia Pacific	Singapore	984	83 ms
172.64.40.177	443	TRUE	BKK	Asia Pacific	Bangkok	13335	84 ms
154.219.5.121	443	TRUE	BKK	Asia Pacific	Bangkok	209242	84 ms
172.64.40.75	443	TRUE	BKK	Asia Pacific	Bangkok	13335	84 ms
172.64.40.178	443	TRUE	BKK	Asia Pacific	Bangkok	13335	84 ms
38.47.204.86	443	TRUE	HKG	Asia Pacific	Hong Kong	140227	85 ms
45.202.113.135	443	TRUE	SIN	Asia Pacific	Singapore	984	85 ms
172.64.40.157	443	TRUE	BKK	Asia Pacific	Bangkok	13335	86 ms
172.64.40.184	443	TRUE	BKK	Asia Pacific	Bangkok	13335	88 ms
154.219.5.182	443	TRUE	BKK	Asia Pacific	Bangkok	209242	88 ms
154.197.80.232	443	TRUE	BKK	Asia Pacific	Bangkok	209242	89 ms
172.64.40.180	443	TRUE	BKK	Asia Pacific	Bangkok	13335	89 ms
154.219.5.209	443	TRUE	BKK	Asia Pacific	Bangkok	209242	90 ms
154.219.5.112	443	TRUE	BKK	Asia Pacific	Bangkok	209242	91 ms
172.64.40.87	443	TRUE	BKK	Asia Pacific	Bangkok	13335	91 ms
172.64.40.231	443	TRUE	BKK	Asia Pacific	Bangkok	13335	92 ms
45.202.113.39	443	TRUE	SIN	Asia Pacific	Singapore	984	92 ms
172.64.40.234	443	TRUE	BKK	Asia Pacific	Bangkok	13335	93 ms
172.64.40.93	443	TRUE	BKK	Asia Pacific	Bangkok	13335	94 ms
172.64.40.192	443	TRUE	BKK	Asia Pacific	Bangkok	13335	95 ms
172.64.40.189	443	TRUE	BKK	Asia Pacific	Bangkok	13335	95 ms
104.248.145.216	443	TRUE	SIN	Asia Pacific	Singapore	14061	95 ms
45.202.113.129	443	TRUE	SIN	Asia Pacific	Singapore	984	96 ms
154.219.5.114	443	TRUE	BKK	Asia Pacific	Bangkok	209242	97 ms
172.64.40.89	443	TRUE	BKK	Asia Pacific	Bangkok	13335	98 ms
172.64.78.206	443	TRUE	BOM	Asia Pacific	Mumbai	13335	98 ms
172.64.40.254	443	TRUE	BKK	Asia Pacific	Bangkok	13335	98 ms
172.64.40.97	443	TRUE	BKK	Asia Pacific	Bangkok	13335	100 ms
51.79.158.126	443	TRUE	SIN	Asia Pacific	Singapore	16276	100 ms
172.64.40.167	443	TRUE	BKK	Asia Pacific	Bangkok	13335	100 ms
172.64.40.81	443	TRUE	BKK	Asia Pacific	Bangkok	13335	101 ms
154.219.5.61	443	TRUE	BKK	Asia Pacific	Bangkok	209242	102 ms
154.219.5.69	443	TRUE	BKK	Asia Pacific	Bangkok	209242	103 ms
172.64.40.106	443	TRUE	BKK	Asia Pacific	Bangkok	13335	103 ms
154.219.5.4	443	TRUE	BKK	Asia Pacific	Bangkok	209242	103 ms
45.202.113.127	443	TRUE	SIN	Asia Pacific	Singapore	984	108 ms
154.219.5.95	443	TRUE	BKK	Asia Pacific	Bangkok	209242	108 ms
172.64.40.120	443	TRUE	BKK	Asia Pacific	Bangkok	13335	108 ms
154.219.5.175	443	TRUE	BKK	Asia Pacific	Bangkok	209242	109 ms
154.219.5.248	443	TRUE	BKK	Asia Pacific	Bangkok	209242	109 ms
154.219.5.252	443	TRUE	BKK	Asia Pacific	Bangkok	209242	109 ms
154.197.80.210	443	TRUE	BKK	Asia Pacific	Bangkok	209242	109 ms
45.202.113.59	443	TRUE	SIN	Asia Pacific	Singapore	984	110 ms
54.169.229.188	443	TRUE	SIN	Asia Pacific	Singapore	16509	110 ms
45.202.113.84	443	TRUE	SIN	Asia Pacific	Singapore	984	110 ms
172.64.40.147	443	TRUE	BKK	Asia Pacific	Bangkok	13335	110 ms
154.219.5.81	443	TRUE	BKK	Asia Pacific	Bangkok	209242	111 ms
172.64.78.199	443	TRUE	NRT	Asia Pacific	Tokyo	13335	112 ms
172.64.40.144	443	TRUE	BKK	Asia Pacific	Bangkok	13335	112 ms
154.219.5.207	443	TRUE	BKK	Asia Pacific	Bangkok	209242	112 ms
154.219.5.91	443	TRUE	BKK	Asia Pacific	Bangkok	209242	114 ms
172.64.40.166	443	TRUE	BKK	Asia Pacific	Bangkok	13335	116 ms
172.64.40.156	443	TRUE	BKK	Asia Pacific	Bangkok	13335	117 ms
172.64.78.55	443	TRUE	BOM	Asia Pacific	Mumbai	13335	117 ms
154.219.5.187	443	TRUE	BKK	Asia Pacific	Bangkok	209242	118 ms
172.64.78.224	443	TRUE	NRT	Asia Pacific	Tokyo	13335	121 ms
154.219.5.42	443	TRUE	BKK	Asia Pacific	Bangkok	209242	122 ms
149.28.21.106	443	TRUE	NRT	Asia Pacific	Tokyo	20473	123 ms
172.64.40.129	443	TRUE	BKK	Asia Pacific	Bangkok	13335	123 ms
45.202.113.71	443	TRUE	SIN	Asia Pacific	Singapore	984	124 ms
172.64.40.185	443	TRUE	BKK	Asia Pacific	Bangkok	13335	124 ms
154.219.5.177	443	TRUE	BKK	Asia Pacific	Bangkok	209242	124 ms
154.197.80.240	443	TRUE	BKK	Asia Pacific	Bangkok	209242	124 ms
172.64.40.86	443	TRUE	BKK	Asia Pacific	Bangkok	13335	125 ms
154.197.80.172	443	TRUE	BKK	Asia Pacific	Bangkok	209242	125 ms
154.219.5.176	443	TRUE	BKK	Asia Pacific	Bangkok	209242	125 ms
154.197.80.229	443	TRUE	BKK	Asia Pacific	Bangkok	209242	125 ms
45.202.113.92	443	TRUE	SIN	Asia Pacific	Singapore	984	126 ms
172.64.40.78	443	TRUE	BKK	Asia Pacific	Bangkok	13335	126 ms
45.202.113.7	443	TRUE	SIN	Asia Pacific	Singapore	984	127 ms
154.219.5.102	443	TRUE	BKK	Asia Pacific	Bangkok	209242	128 ms
172.64.40.71	443	TRUE	BKK	Asia Pacific	Bangkok	13335	128 ms
154.219.5.105	443	TRUE	BKK	Asia Pacific	Bangkok	209242	129 ms
45.202.113.220	443	TRUE	SIN	Asia Pacific	Singapore	984	131 ms
172.64.40.145	443	TRUE	BKK	Asia Pacific	Bangkok	13335	132 ms
172.64.40.19	443	TRUE	BKK	Asia Pacific	Bangkok	13335	132 ms
154.219.5.242	443	TRUE	BKK	Asia Pacific	Bangkok	209242	134 ms
45.202.113.156	443	TRUE	SIN	Asia Pacific	Singapore	984	135 ms
172.64.78.206	443	TRUE	CGK	Asia Pacific	Jakarta	13335	135 ms
172.64.40.135	443	TRUE	BKK	Asia Pacific	Bangkok	13335	136 ms
45.202.113.187	443	TRUE	SIN	Asia Pacific	Singapore	984	139 ms
172.64.40.119	443	TRUE	BKK	Asia Pacific	Bangkok	13335	140 ms
172.64.78.30	443	TRUE	SIN	Asia Pacific	Singapore	13335	140 ms
45.202.113.111	443	TRUE	SIN	Asia Pacific	Singapore	984	141 ms
154.219.5.35	443	TRUE	BKK	Asia Pacific	Bangkok	209242	144 ms
172.64.40.85	443	TRUE	BKK	Asia Pacific	Bangkok	13335	144 ms
